1;1;2936.5213491916656
1;2;3622.3963475227356
1;3;4202.36509847641
1;4;4909.021351575851
1;5;5785.532869100571
1;6;5552.513607978821
1;7;5882.622987508774
2;1;2967.1091866493225
2;2;3632.8591849803925
2;3;4293.624809265137
2;4;5382.406061410904
2;5;5861.218560695648
3;1;2729.8593785762787
3;2;3614.109370470047
2;6;6382.562502622604
3;3;4037.4062502384186
2;7;7138.136570930481
3;4;4856.370941400528
4;1;2747.2031252384186
3;5;5505.058439493179
4;2;3532.171872138977
3;6;6487.042815923691
3;7;7115.058444976807
4;3;4182.781249046326
4;4;4749.406247854233
5;1;2740.390625
4;5;5743.06250333786
4;6;6303.203125476837
5;2;3606.1562457084656
4;7;7202.5312485694885
5;3;4096.531252622604
5;4;5191.718750238419
6;1;2839.265622854233
5;5;5717.703125953674
5;6;6677.843747377396
6;2;3661.000002145767
5;7;7170.29687666893
6;3;4130.625002861023
6;4;5119.0000014305115
7;1;2856.3125035762787
6;5;5743.562500715256
7;2;3683.8281223773956
6;6;6832.0468809604645
7;3;4303.609374523163
6;7;7514.359374761581
7;4;5038.109379768372
8;1;2922.8281264305115
7;5;5930.187533378601
7;6;6466.421908855438
8;2;3808.4375269412994
7;7;7207.171899795532
8;3;4195.35940527916
8;4;5217.26562333107
9;1;2884.5468752384186
8;5;6080.421872138977
8;6;6535.406247377396
9;2;3678.984376192093
9;3;4371.1093719005585
8;7;7487.7031219005585
9;4;5052.171872615814
10;1;3163.8281252384186
9;5;6039.781250715256
9;6;6740.562499046326
10;2;3984.84374833107
9;7;7207.609375953674
10;3;4443.57812333107
10;4;5286.406255722046
11;1;3089.906256914139
10;5;6193.125002622604
10;6;7249.499999284744
11;2;4041.7031257152557
10;7;7583.375
11;3;4538.328128576279
11;4;5418.796875476837
12;1;3156.0156285762787
11;5;6122.328124046326
11;6;6971.8148810863495
12;2;4008.236762046814
11;7;7761.580509901047
12;3;4537.0648810863495
12;4;5392.430509090424
12;5;6346.803129434586
13;1;3202.7406215667725
12;6;7198.678124427795
13;2;4063.3749992847443
12;7;7820.146872520447
13;3;4625.718749523163
13;4;5300.187502145767
14;1;3207.453125476837
13;5;6170.218750953674
13;6;7157.406252384186
14;2;3986.328125476837
13;7;8068.203122615814
14;3;4736.578120708466
14;4;5651.578125
14;5;6176.999998092651
14;6;7102.359373092651
14;7;8013.093755245209
